,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
52,EPI,6588,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-1.0800643,-1.1104784,6588:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
53,EPI,6588,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.5103686,1.3840955,6588:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
54,EPI,6588,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.004256659,0.041385278,6588:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
55,EPI,6589,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.0355523,1.8723607,6589:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
56,EPI,6589,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.29945007,0.29516205,6589:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
57,EPI,6589,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.1574691,0.15756194,6589:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
58,EPI,6589,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.1123195,0.98888767,6589:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
59,EPI,6590,ofM,CogBm,1,CBV,/root/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogBm_acq-EPI_run-1_desc-tstat_cbv.nii.gz,4.016019,3.240292,6590:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
60,EPI,6590,ofM,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.9703026,0.4872703,6590:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
61,EPI,6591,ofM,CogBm,0,CBV,/root/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogBm_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.695296,4.0054803,6591:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
62,EPI,6591,ofM,CogP,1,CBV,/root/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.92492527,-1.197401,6591:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
63,EPI,6592,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6592/ses-ofM/sub-6592_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,3.4962883,3.3256147,6592:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
64,EPI,6592,ofMr1,CogMwf,1,CBV,/root/.scratch/opfvta/l1/sub-6592/ses-ofMr1/sub-6592_ses-ofMr1_task-CogMwf_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.3058944,2.5425906,6592:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
65,EPI,6593,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.6341279,0.37402967,6593:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
66,EPI,6593,ofM,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.33634531,-0.44810456,6593:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
67,EPI,6639,ofM,CogBm,0,CBV,/root/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogBm_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.5258713,4.254258,6639:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
68,EPI,6639,ofM,CogP,1,CBV,/root/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-2.1705635,-1.7287202,6639:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
69,EPI,6642,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,7.01768,7.2517824,6642:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
70,EPI,6642,ofM,CogP,1,CBV,/root/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.9810811,-1.5832574,6642:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
71,EPI,6643,ofM,CogBm,1,CBV,/root/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogBm_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.4638262,3.6702237,6643:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
72,EPI,6643,ofM,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.4359891,1.418766,6643:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
73,EPI,6654,ofMr1,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6654/ses-ofMr1/sub-6654_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.0656805,2.2478237,6654:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
74,EPI,6655,ofM,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-6655/ses-ofM/sub-6655_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.5739288,0.7019076,6655:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
75,EPI,6655,ofMr1,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6655/ses-ofMr1/sub-6655_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.06641902,-0.17591944,6655:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
